account_id,account_number_hash,account_type,account_holder_person_id,account_holder_organization_id,financial_institution,branch_code,account_opening_date,account_closing_date,status,source_id,confidence_score,created_at,updated_at
A00137,ACCT4660054411,Current,P00336,,Punjab National Bank,BR9142,2020-04-26,,Closed,SRC011,0.86,2026-02-24 21:03:00,2026-03-14 00:03:00
A00138,ACCT7639175100,Savings,P02541,,Bank of Baroda,BR2055,2018-09-10,2025-03-09,Active,SRC028,0.94,2024-05-24 01:32:11,2025-02-17 02:06:05
A00139,ACCT5394265387,Current,P03168,,Axis Bank,BR8921,2018-06-28,2025-12-10,Active,SRC026,0.86,2025-10-09 05:24:06,2025-10-14 11:24:06
A00140,ACCT5765315796,Current,P01635,,Bank of Baroda,BR9340,2024-02-23,,Dormant,SRC016,0.97,2024-03-28 07:37:12,2026-04-05 23:56:19
A00141,ACCT9037230441,Current,P03428,,HDFC Bank,BR4750,2019-06-09,2026-06-17,Closed,SRC023,0.88,2024-12-25 07:10:32,2025-05-13 23:08:25
A00142,ACCT7762124028,Business,P01504,,Bank of Baroda,BR9824,2021-06-08,,Closed,SRC011,0.87,2026-04-27 04:17:23,2026-05-08 06:17:23
A00143,ACCT3917974639,Current,P00398,,State Bank of India,BR5834,2019-05-12,,Closed,SRC008,0.97,2024-10-27 22:46:06,2025-10-24 17:06:54
A00144,ACCT3663184893,Savings,P00631,,State Bank of India,BR6227,2021-04-06,,Active,SRC029,0.87,2026-04-04 17:50:35,2026-04-11 17:50:35
A00145,ACCT2940296483,Business,P01994,,HDFC Bank,BR1057,2023-06-25,,Under Review,SRC028,0.85,2026-01-29 21:41:31,2026-02-07 22:41:31
A00146,ACCT9082368485,Current,P03357,,Punjab National Bank,BR6635,2020-03-13,,Active,SRC008,0.92,2025-04-25 08:24:30,2025-12-18 01:46:12
A00147,ACCT2888436665,Business,,O0169,State Bank of India,BR1989,2022-08-08,,Dormant,SRC007,0.94,2025-02-25 00:44:44,2026-03-13 03:28:11
A00148,ACCT2228302837,Savings,P00361,,HDFC Bank,BR6666,2017-02-10,,Closed,SRC012,0.92,2026-03-11 00:59:40,2026-03-22 20:59:40
A00149,ACCT9135002053,Business,P00444,,HDFC Bank,BR1268,2024-08-15,,Dormant,SRC018,0.97,2025-10-13 11:17:43,2026-06-24 02:39:11
A00150,ACCT9647586518,Current,P02450,,Axis Bank,BR1204,2019-03-03,,Dormant,SRC024,0.88,2025-07-06 12:36:53,2025-10-21 06:58:22
A00151,ACCT2309019830,Current,P01287,,Bank of Baroda,BR7753,2018-09-15,,Under Review,SRC026,0.87,2025-06-22 19:45:38,2025-07-17 01:45:38
A00152,ACCT8016951495,Savings,P00342,,State Bank of India,BR9988,2018-08-28,,Dormant,SRC025,0.91,2026-08-01 01:24:23,2026-08-26 01:24:23
A00153,ACCT6501078293,Current,,O0036,ICICI Bank,BR5549,2022-04-17,,Dormant,SRC023,0.85,2024-02-28 23:14:18,2024-03-08 20:11:52
A00154,ACCT9684033622,Business,P00663,,Punjab National Bank,BR9670,2022-05-12,2026-01-31,Under Review,SRC022,0.87,2025-04-18 07:13:45,2025-06-11 16:03:27
A00155,ACCT4455029377,Current,P02853,,Axis Bank,BR3842,2019-07-07,,Closed,SRC026,0.81,2025-02-20 03:14:24,2026-01-28 12:24:52
A00156,ACCT6385246519,Savings,P00454,,State Bank of India,BR1581,2024-12-28,,Dormant,SRC011,0.83,2026-04-30 17:16:09,2026-05-26 23:16:09
A00157,ACCT1849023850,Business,P01595,,Punjab National Bank,BR9861,2017-06-17,,Active,SRC002,0.96,2025-03-04 10:31:24,2025-05-01 09:09:59
A00158,ACCT4235337686,Savings,P02005,,HDFC Bank,BR2900,2023-12-15,,Closed,SRC027,0.98,2025-01-18 23:41:44,2026-04-10 13:15:45
A00159,ACCT2601243372,Savings,,O0144,ICICI Bank,BR7742,2020-12-08,,Under Review,SRC021,0.93,2024-04-23 17:13:18,2026-02-10 11:48:15
A00160,ACCT7633920784,Savings,,O0047,Bank of Baroda,BR6809,2026-04-09,,Closed,SRC013,0.9,2025-09-07 20:46:01,2025-09-10 21:46:01
A00161,ACCT4293529102,Current,P03327,,ICICI Bank,BR1468,2025-01-01,,Under Review,SRC026,0.97,2025-09-12 08:45:48,2025-09-20 14:45:48
A00162,ACCT2335285368,Business,P00236,,Punjab National Bank,BR9635,2024-02-22,,Dormant,SRC006,0.94,2024-10-02 16:03:51,2024-12-18 17:49:36
A00163,ACCT8484226996,Business,P01884,,HDFC Bank,BR1846,2019-04-22,,Dormant,SRC010,0.9,2025-05-07 00:23:19,2026-08-09 05:26:23
A00164,ACCT1270043530,Business,P03642,,Punjab National Bank,BR9760,2019-07-09,,Under Review,SRC014,0.92,2026-05-11 15:25:50,2026-05-25 07:25:50
A00165,ACCT1749867883,Current,P03906,,Punjab National Bank,BR7842,2017-04-12,2026-02-22,Active,SRC022,0.98,2026-02-12 05:39:31,2026-03-29 20:00:02
A00166,ACCT7700553920,Current,P00092,,Punjab National Bank,BR8573,2025-10-04,2026-05-13,Active,SRC019,0.86,2025-04-03 12:26:56,2025-04-22 04:26:56
A00167,ACCT8827871137,Savings,P00610,,Axis Bank,BR2872,2018-01-04,,Closed,SRC016,0.88,2026-08-09 22:34:32,2026-08-17 22:34:32
