observation_id,observation_type,entity_type,entity_id,location_id,observation_timestamp,description,vehicle_id,source_system,observer_type,evidence_id,confidence_score,created_at
OBS000038,SURVEILLANCE,PERSON,P00512,L01171,2025-11-21 01:00:08,An observation associated Karan Khan with the area around Warehouse 418; corroboration is required.,V00049,Synthetic_Intelligence_Feed,Analyst,EV11038,0.80,2025-04-07 00:40:39
OBS000039,PATROL,PERSON,P01743,L00856,2025-02-10 19:08:40,Person Pooja Verma was observed near Market 190 in Pune.,,ANPR_System,Patrol_Unit,EV11039,0.87,2025-11-30 04:40:54
OBS000040,INTELLIGENCE,ACCOUNT,A00361,L01007,2025-07-15 14:43:13,Source INTELLIGENCE recorded ACCT****5871 at Junction 692 around 14:43.,,ANPR_System,Officer,EV11040,0.91,2025-09-25 16:50:27
OBS000041,ANPR,VEHICLE,V01175,L00230,2026-05-05 15:05:08,Source ANPR recorded MH88CD5562 at Hotel 471 around 15:05.,V01175,ANPR_System,Analyst,EV11041,0.85,2026-04-29 22:47:45
OBS000042,FIELD_OBSERVATION,ACCOUNT,A00105,L00097,2026-04-09 12:37:17,An observation associated ACCT****1489 with the area around Market 473; corroboration is required.,,Synthetic_Intelligence_Feed,Automated_Camera,EV11042,0.76,2026-02-21 18:53:33
OBS000043,CCTV,PERSON,P02187,L01157,2026-12-29 22:47:40,Source CCTV recorded Meera Sharma at Station 892 around 22:47.,,ANPR_System,Officer,EV11043,0.83,2025-09-20 20:31:13
OBS000044,SURVEILLANCE,PERSON,P02623,L01919,2025-03-30 10:15:57,Person Raj Joshi was observed near Station 505 in Mumbai.,,ANPR_System,Automated_Camera,EV11044,0.83,2026-05-01 05:12:35
OBS000045,PATROL,ORGANIZATION,O0465,L00233,2025-10-24 15:14:41,An observation associated Tiwari Industries with the area around Office 877; corroboration is required.,,ANPR_System,Analyst,EV11045,0.76,2026-09-29 20:38:32
OBS000046,INTELLIGENCE,VEHICLE,V00078,L01198,2025-06-28 18:01:39,Vehicle UP02GH8677 was observed near Hotel 603 in Gurugram.,V00078,CCTV_Network,Analyst,EV11046,0.90,2026-08-21 17:51:35
OBS000047,ANPR,ACCOUNT,A00889,L00269,2025-11-22 07:08:53,Account ACCT****3763 was observed near Road 632 in Hyderabad.,,Synthetic_Intelligence_Feed,CCTV_System,EV11047,0.83,2026-02-10 08:11:10
OBS000048,FIELD_OBSERVATION,PERSON,P03595,L02363,2025-09-01 16:39:47,Person Neha Singh was observed near Warehouse 765 in Jabalpur.,,Field_Log,CCTV_System,EV11048,0.93,2025-02-10 09:39:41
OBS000049,CCTV,VEHICLE,V00309,L00110,2025-11-17 20:10:56,Vehicle RJ17AB5937 was observed near Apartment 248 in Hyderabad.,V00309,Field_Log,Officer,EV11049,0.83,2026-06-08 21:05:23
OBS000050,SURVEILLANCE,VEHICLE,V01087,L00462,2026-08-04 08:05:48,Source SURVEILLANCE recorded DL35GH8670 at Hotel 768 around 08:05.,V01087,Field_Log,Analyst,EV11050,0.85,2026-12-16 13:26:53
OBS000051,PATROL,VEHICLE,V00382,L00210,2025-03-20 02:23:48,Vehicle MP83CD8046 was observed near Warehouse 472 in Ujjain.,V00382,Field_Log,Analyst,EV11051,0.78,2025-04-09 17:48:07
OBS000052,INTELLIGENCE,PERSON,P02563,L01273,2025-07-31 07:24:13,An observation associated Vikram Tiwari with the area around Market 259; corroboration is required.,,Synthetic_Intelligence_Feed,CCTV_System,EV11052,0.88,2025-01-27 17:58:57
OBS000053,ANPR,PHONE,PH01835,L01433,2025-01-02 00:54:52,Phone 952****582 was observed near Apartment 557 in Delhi.,,Field_Log,Analyst,EV11053,0.79,2026-09-19 08:37:05
OBS000054,FIELD_OBSERVATION,ORGANIZATION,O0474,L02154,2025-10-30 14:44:44,Organization Patel Trading was observed near Office 297 in Hyderabad.,,Synthetic_Intelligence_Feed,Patrol_Unit,EV11054,0.80,2025-03-06 07:44:55
OBS000055,CCTV,ACCOUNT,A00121,L01039,2026-03-20 12:34:36,Source CCTV recorded ACCT****7037 at Warehouse 374 around 12:34.,,Synthetic_Intelligence_Feed,Analyst,EV11055,0.85,2026-11-02 12:38:45
OBS000056,SURVEILLANCE,PERSON,P02217,L01339,2026-04-04 13:23:46,Source SURVEILLANCE recorded Manish Shah at Market 854 around 13:23.,V00700,ANPR_System,Patrol_Unit,EV11056,0.76,2026-05-17 11:14:48
OBS000057,PATROL,PERSON,P03994,L00746,2026-06-14 21:57:32,Person Manish Chauhan was observed near Office 338 in Ujjain.,V00605,ANPR_System,Officer,EV11057,0.77,2025-12-29 07:56:14
OBS000058,INTELLIGENCE,ACCOUNT,A00955,L01907,2026-06-09 22:03:57,Source INTELLIGENCE recorded ACCT****0648 at Hotel 515 around 22:03.,,Synthetic_Intelligence_Feed,CCTV_System,EV11058,0.86,2026-04-18 13:10:53
OBS000059,ANPR,ORGANIZATION,O0152,L01007,2026-03-28 02:45:49,An observation associated Saxena Solutions with the area around Junction 692; corroboration is required.,,CCTV_Network,Officer,EV11059,0.85,2026-09-22 00:13:25
OBS000060,FIELD_OBSERVATION,PERSON,P01781,L01644,2026-06-17 06:12:07,Source FIELD_OBSERVATION recorded Rohan Shah at Junction 146 around 06:12.,,ANPR_System,Patrol_Unit,EV11060,0.90,2025-04-04 15:31:32
OBS000061,CCTV,ORGANIZATION,O0306,L00889,2025-11-14 00:40:09,An observation associated Sharma Logistics with the area around Market 545; corroboration is required.,,CCTV_Network,CCTV_System,EV11061,0.87,2026-01-02 07:32:26
OBS000062,SURVEILLANCE,VEHICLE,V00509,L00137,2026-07-14 15:28:27,An observation associated KA79AB9085 with the area around Apartment 906; corroboration is required.,V00509,Synthetic_Intelligence_Feed,Automated_Camera,EV11062,0.77,2025-02-27 11:49:41
OBS000063,PATROL,PERSON,P01012,L01332,2026-08-12 22:46:56,Person Karan Deshmukh was observed near Mall 181 in Ahmedabad.,,ANPR_System,Officer,EV11063,0.83,2025-05-23 17:36:14
OBS000064,INTELLIGENCE,PHONE,PH03009,L00908,2025-11-15 01:51:41,Phone 988****204 was observed near Mall 370 in Jabalpur.,,Synthetic_Intelligence_Feed,Officer,EV11064,0.73,2025-11-16 21:23:15
OBS000065,ANPR,ACCOUNT,A00939,L02380,2025-08-09 12:23:58,An observation associated ACCT****1581 with the area around Junction 902; corroboration is required.,,CCTV_Network,CCTV_System,EV11065,0.83,2025-08-02 00:35:40
OBS000066,FIELD_OBSERVATION,PHONE,PH02909,L00655,2026-12-25 15:44:17,An observation associated 914****738 with the area around Warehouse 676; corroboration is required.,,ANPR_System,Officer,EV11066,0.87,2026-03-31 19:22:24
OBS000067,CCTV,ORGANIZATION,O0103,L01477,2025-09-26 07:54:31,Organization Shah Transport was observed near Office 678 in Hyderabad.,,Field_Log,Analyst,EV11067,0.83,2025-09-28 11:52:38
OBS000068,SURVEILLANCE,PERSON,P02483,L01329,2026-09-17 18:57:56,Source SURVEILLANCE recorded Siddharth Rathore at Market 641 around 18:57.,,Field_Log,CCTV_System,EV11068,0.93,2025-11-17 05:50:11
OBS000069,PATROL,PERSON,P00975,L00037,2026-08-28 08:22:02,Source PATROL recorded Pooja Khan at Industrial Area 32 around 08:22.,,ANPR_System,CCTV_System,EV11069,0.80,2026-02-22 23:30:58
OBS000070,INTELLIGENCE,PERSON,P03250,L00372,2026-04-06 00:06:59,An observation associated Siddharth Khan with the area around Market 367; corroboration is required.,V00943,ANPR_System,Patrol_Unit,EV11070,0.85,2025-12-09 15:00:54
OBS000071,ANPR,VEHICLE,V00385,L02319,2026-04-18 15:29:44,An observation associated GJ89EF2598 with the area around Hotel 190; corroboration is required.,V00385,CCTV_Network,Patrol_Unit,EV11071,0.94,2026-03-15 03:44:06
OBS000072,FIELD_OBSERVATION,PHONE,PH02519,L00010,2025-05-16 15:25:20,An observation associated 956****706 with the area around Industrial Area 674; corroboration is required.,,ANPR_System,Automated_Camera,EV11072,0.88,2025-02-07 13:31:29
OBS000073,CCTV,ORGANIZATION,O0484,L00348,2025-07-11 07:33:21,Organization Gupta Solutions was observed near Industrial Area 825 in Surat.,,Synthetic_Intelligence_Feed,CCTV_System,EV11073,0.92,2025-10-01 13:31:01
OBS000074,SURVEILLANCE,PERSON,P03215,L02009,2025-10-14 06:13:40,Person Rohan Tiwari was observed near Road 548 in Gwalior.,V01173,Synthetic_Intelligence_Feed,Officer,EV11074,0.76,2025-03-31 01:08:01
OBS000075,PATROL,ORGANIZATION,O0117,L02466,2025-02-26 14:51:52,An observation associated Bansal Industries with the area around Road 542; corroboration is required.,,CCTV_Network,Patrol_Unit,EV11075,0.79,2026-04-13 11:07:28
OBS000076,INTELLIGENCE,PERSON,P00232,L00314,2026-10-08 08:51:31,An observation associated Varun Tiwari with the area around Market 964; corroboration is required.,,CCTV_Network,Analyst,EV11076,0.94,2026-08-11 02:45:18
OBS000077,ANPR,PHONE,PH01512,L00685,2025-01-01 01:23:48,Source ANPR recorded 911****344 at Mall 953 around 01:23.,,Synthetic_Intelligence_Feed,Analyst,EV11077,0.73,2025-05-11 09:42:14
OBS000078,FIELD_OBSERVATION,ORGANIZATION,O0226,L01518,2025-09-22 15:30:43,Source FIELD_OBSERVATION recorded Yadav Logistics at Road 993 around 15:30.,,Field_Log,CCTV_System,EV11078,0.94,2026-10-21 09:26:13
OBS000079,CCTV,VEHICLE,V00357,L01540,2026-02-17 14:27:39,An observation associated MH13GH1263 with the area around Junction 669; corroboration is required.,V00357,CCTV_Network,Automated_Camera,EV11079,0.83,2025-01-11 01:30:14
OBS000080,SURVEILLANCE,PERSON,P03414,L00454,2025-10-22 06:07:52,Source SURVEILLANCE recorded Priya Tiwari at Warehouse 171 around 06:07.,,Field_Log,CCTV_System,EV11080,0.76,2026-01-22 06:57:13
OBS000081,PATROL,ORGANIZATION,O0124,L00657,2025-05-04 04:00:44,Source PATROL recorded Malhotra Enterprises at Hotel 754 around 04:00.,,Field_Log,Officer,EV11081,0.76,2026-06-23 01:55:22
OBS000082,INTELLIGENCE,PERSON,P00167,L02072,2026-07-04 07:10:20,An observation associated Sneha Saxena with the area around Market 586; corroboration is required.,V00480,Field_Log,Analyst,EV11082,0.80,2026-10-13 08:09:30
OBS000083,ANPR,ACCOUNT,A00639,L01490,2025-04-10 21:15:13,Source ANPR recorded ACCT****8426 at Station 22 around 21:15.,,ANPR_System,Analyst,EV11083,0.93,2025-03-20 16:16:15
OBS000084,FIELD_OBSERVATION,PERSON,P01919,L02082,2025-09-22 03:50:39,Person Kavya Khan was observed near Junction 181 in Mumbai.,,Field_Log,Patrol_Unit,EV11084,0.94,2025-10-28 18:39:10
OBS000085,CCTV,PERSON,P00068,L01871,2026-10-19 00:30:16,An observation associated Nikhil Agarwal with the area around Warehouse 1; corroboration is required.,,CCTV_Network,Automated_Camera,EV11085,0.80,2026-10-10 23:37:20
OBS000086,SURVEILLANCE,VEHICLE,V00346,L01017,2025-02-08 06:14:34,Vehicle DL94AB6337 was observed near Junction 241 in Bhopal.,V00346,Field_Log,Officer,EV11086,0.89,2025-11-10 11:12:06
OBS000087,PATROL,PERSON,P03552,L00946,2025-01-13 03:06:27,Source PATROL recorded Nikhil Deshmukh at Industrial Area 558 around 03:06.,,ANPR_System,Analyst,EV11087,0.93,2025-09-03 12:08:02
OBS000088,INTELLIGENCE,PERSON,P01783,L01802,2025-05-08 18:01:29,Person Vihaan Singh was observed near Station 960 in Vadodara.,V00678,ANPR_System,Automated_Camera,EV11088,0.89,2026-06-09 18:23:02
OBS000089,ANPR,VEHICLE,V00124,L01502,2026-09-05 02:12:40,Source ANPR recorded MP99GH1948 at Office 636 around 02:12.,V00124,ANPR_System,Automated_Camera,EV11089,0.85,2025-05-06 20:41:10
OBS000090,FIELD_OBSERVATION,PERSON,P03251,L01309,2026-08-23 10:47:10,Person Aditya Deshmukh was observed near Road 383 in Pune.,,Field_Log,CCTV_System,EV11090,0.74,2025-11-04 07:46:51
OBS000091,CCTV,VEHICLE,V00351,L01553,2026-10-22 14:53:04,An observation associated GJ73CD3359 with the area around Office 855; corroboration is required.,V00351,ANPR_System,CCTV_System,EV11091,0.79,2025-01-12 23:35:39
OBS000092,SURVEILLANCE,PERSON,P00080,L01453,2025-10-12 10:34:04,An observation associated Amit Saxena with the area around Junction 226; corroboration is required.,V00322,ANPR_System,Officer,EV11092,0.80,2025-07-05 22:03:46
OBS000093,PATROL,PERSON,P01928,L02229,2026-08-14 15:39:46,Person Varun Rathore was observed near Junction 920 in Bhopal.,,Field_Log,Patrol_Unit,EV11093,0.80,2026-05-05 10:38:04
OBS000094,INTELLIGENCE,PHONE,PH00624,L02295,2025-10-12 03:59:26,Source INTELLIGENCE recorded 918****267 at Office 816 around 03:59.,,ANPR_System,CCTV_System,EV11094,0.91,2025-07-11 07:58:49
OBS000095,ANPR,PHONE,PH00498,L00041,2025-06-11 07:24:46,Phone 999****379 was observed near Road 933 in Gurugram.,,CCTV_Network,CCTV_System,EV11095,0.89,2026-09-25 08:41:25
OBS000096,FIELD_OBSERVATION,PERSON,P00826,L02390,2026-01-31 03:31:08,Person Sanjay Rathore was observed near Junction 162 in Jabalpur.,,Synthetic_Intelligence_Feed,CCTV_System,EV11096,0.84,2025-11-01 03:27:02
OBS000097,CCTV,PERSON,P00396,L01449,2025-05-10 19:39:53,An observation associated Rahul Singh with the area around Hotel 757; corroboration is required.,,ANPR_System,Officer,EV11097,0.85,2025-01-16 16:09:42
OBS000098,SURVEILLANCE,PERSON,P02240,L00325,2026-03-26 17:18:21,Person Mohit Sharma was observed near Station 435 in Mumbai.,V00230,CCTV_Network,Automated_Camera,EV11098,0.91,2025-03-30 10:50:10
OBS000099,PATROL,PERSON,P02400,L01484,2026-07-10 03:43:53,Person Karan Khan was observed near Road 812 in Lucknow.,V00487,Field_Log,Analyst,EV11099,0.77,2026-04-17 02:51:14
OBS000100,INTELLIGENCE,PERSON,P03675,L01219,2025-01-26 00:58:13,Source INTELLIGENCE recorded Vihaan Saxena at Junction 343 around 00:58.,,Synthetic_Intelligence_Feed,Analyst,EV11100,0.91,2026-05-04 11:04:15
OBS000101,ANPR,VEHICLE,V00059,L00981,2025-04-24 00:14:00,An observation associated KA25EF1249 with the area around Office 515; corroboration is required.,V00059,Field_Log,Patrol_Unit,EV11101,0.85,2026-08-11 16:39:41
OBS000102,FIELD_OBSERVATION,ORGANIZATION,O0220,L00003,2026-04-15 11:33:30,Source FIELD_OBSERVATION recorded Rathore Services at Junction 507 around 11:33.,,Field_Log,Patrol_Unit,EV11102,0.85,2025-07-16 08:50:12
OBS000103,CCTV,PERSON,P02985,L00572,2026-03-31 15:12:24,Person Vikram Mishra was observed near Road 254 in Jabalpur.,,Synthetic_Intelligence_Feed,Automated_Camera,EV11103,0.95,2025-06-19 10:37:26
OBS000104,SURVEILLANCE,PERSON,P00336,L02458,2026-08-12 22:56:34,An observation associated Neha Mishra with the area around Hotel 268; corroboration is required.,,Synthetic_Intelligence_Feed,Automated_Camera,EV11104,0.83,2025-02-09 22:29:16
OBS000105,PATROL,PERSON,P02906,L00866,2025-04-19 20:50:55,Source PATROL recorded Amit Yadav at Station 154 around 20:50.,V00388,ANPR_System,Officer,EV11105,0.84,2025-10-07 07:28:45
OBS000106,INTELLIGENCE,PERSON,P03491,L01095,2026-03-24 11:12:29,An observation associated Siddharth Tiwari with the area around Office 898; corroboration is required.,,Synthetic_Intelligence_Feed,CCTV_System,EV11106,0.73,2025-09-01 22:15:13
OBS000107,ANPR,ORGANIZATION,O0339,L01777,2026-04-17 03:03:23,Source ANPR recorded Tiwari Transport at Industrial Area 700 around 03:03.,,ANPR_System,CCTV_System,EV11107,0.83,2025-09-10 08:04:21
OBS000108,FIELD_OBSERVATION,VEHICLE,V00901,L00106,2026-04-19 00:50:08,An observation associated DL25GH7939 with the area around Office 171; corroboration is required.,V00901,Field_Log,Analyst,EV11108,0.78,2026-03-09 08:24:16
OBS000109,CCTV,ORGANIZATION,O0049,L00102,2025-08-17 02:52:23,An observation associated Deshmukh Enterprises with the area around Industrial Area 737; corroboration is required.,,Synthetic_Intelligence_Feed,CCTV_System,EV11109,0.86,2025-06-05 04:07:43
OBS000110,SURVEILLANCE,VEHICLE,V00405,L00747,2025-09-12 22:53:23,Source SURVEILLANCE recorded UP06CD8747 at Mall 872 around 22:53.,V00405,ANPR_System,Officer,EV11110,0.86,2025-08-29 21:26:03
OBS000111,PATROL,PERSON,P01635,L02268,2025-05-14 19:25:00,An observation associated Aarav Jain with the area around Road 123; corroboration is required.,,Field_Log,Officer,EV11111,0.83,2026-03-25 14:32:10
OBS000112,INTELLIGENCE,PERSON,P03805,L02432,2026-02-19 13:37:53,An observation associated Deepak Jain with the area around Station 224; corroboration is required.,,Synthetic_Intelligence_Feed,Automated_Camera,EV11112,0.91,2026-05-26 22:11:54
OBS000113,ANPR,ORGANIZATION,O0194,L01436,2025-04-09 06:43:31,Organization Patel Solutions was observed near Office 497 in Jaipur.,,CCTV_Network,Patrol_Unit,EV11113,0.87,2026-08-21 12:50:33
OBS000114,FIELD_OBSERVATION,ACCOUNT,A00249,L02107,2026-05-02 19:09:21,Source FIELD_OBSERVATION recorded ACCT****8477 at Market 245 around 19:09.,,Synthetic_Intelligence_Feed,Officer,EV11114,0.96,2026-01-21 09:49:10
OBS000115,CCTV,PERSON,P01416,L02011,2025-11-18 10:59:14,Person Nikhil Tiwari was observed near Station 730 in Lucknow.,V00117,ANPR_System,Patrol_Unit,EV11115,0.90,2025-12-20 01:05:14
OBS000116,SURVEILLANCE,PERSON,P00822,L01498,2025-01-16 16:05:07,An observation associated Meera Khan with the area around Junction 626; corroboration is required.,V00708,CCTV_Network,Patrol_Unit,EV11116,0.83,2025-04-23 02:52:33
OBS000117,PATROL,PERSON,P03491,L01072,2025-05-02 03:50:57,An observation associated Siddharth Tiwari with the area around Hotel 464; corroboration is required.,,ANPR_System,Patrol_Unit,EV11117,0.94,2025-07-10 11:56:46
OBS000118,INTELLIGENCE,PERSON,P02445,L00902,2025-03-27 21:28:29,An observation associated Pooja Bansal with the area around Market 651; corroboration is required.,V01130,Field_Log,Patrol_Unit,EV11118,0.78,2026-03-10 12:06:39
OBS000119,ANPR,VEHICLE,V01194,L02083,2025-05-24 06:42:33,Source ANPR recorded UP72EF4466 at Office 548 around 06:42.,V01194,Field_Log,CCTV_System,EV11119,0.79,2026-12-10 02:38:59
OBS000120,FIELD_OBSERVATION,ORGANIZATION,O0291,L00268,2025-05-01 13:14:38,Source FIELD_OBSERVATION recorded Patel Industries at Road 281 around 13:14.,,Synthetic_Intelligence_Feed,Patrol_Unit,EV11120,0.94,2025-09-28 18:55:53
OBS000121,CCTV,PERSON,P02977,L01798,2026-04-26 07:31:03,Person Priya Khan was observed near Station 220 in Jabalpur.,V00317,Field_Log,Automated_Camera,EV11121,0.93,2025-09-13 06:22:43
OBS000122,SURVEILLANCE,PERSON,P03452,L02109,2025-07-09 15:07:10,An observation associated Vihaan Agarwal with the area around Station 926; corroboration is required.,V01113,CCTV_Network,Automated_Camera,EV11122,0.85,2025-08-19 22:07:06
OBS000123,PATROL,PERSON,P02123,L01273,2026-10-04 17:34:08,An observation associated Kabir Shah with the area around Market 259; corroboration is required.,,Field_Log,Officer,EV11123,0.89,2025-12-26 16:56:23
OBS000124,INTELLIGENCE,PERSON,P02921,L00761,2026-06-30 18:52:44,An observation associated Yash Chauhan with the area around Apartment 492; corroboration is required.,V00253,Synthetic_Intelligence_Feed,Analyst,EV11124,0.88,2025-03-05 19:57:39
